company,rank,revenue,sector,city,state
Cadence Design Systems,805,2682.9,Technology,San Jose,CA
Euronet Worldwide,847,2482.7,Business Services,Leawood,KS
Comerica,729,3094,Financials,Dallas,TX
Hill-Rom Holdings,773,2881,Health Care,Chicago,IL
Energizer Holdings,775,2860.6,Household Products,St. Louis,MO
Verisk Analytics,788,2784.6,Business Services,Jersey City,NJ
Rackspace Technology,799,2707.1,Technology,San Antonio,TX
EQT,739,3058.8,Energy,Pittsburgh,PA
Comfort Systems USA,776,2856.7,Engineering & Construction,Houston,TX
Brown & Brown,814,2613.4,Financials,Daytona Beach,FL
LGI Homes,873,2367.9,Engineering & Construction,The Woodlands,TX
Hyatt Hotels,946,2066,"Hotels, Restaurants & Leisure",Chicago,IL
Grocery Outlet Holding,722,3134.6,Food & Drug Stores,Emeryville,CA
AMC Networks,779,2815,Media,New York,NY
Hyster-Yale Materials Handling,782,2812.1,Industrials,Cleveland,OH
ChampionX,986,1900,Energy,The Woodlands,TX
Dycom Industries,710,3199.2,Engineering & Construction,Palm Beach Gardens,FL
Columbia Sportswear,841,2501.6,Apparel,Portland,OR
Coherent,868,2380.1,Technology,Saxonburg,PA
Travel + Leisure,922,2160,"Hotels, Restaurants & Leisure",Orlando,FL
Xilinx,716,3162.7,Technology,San Jose,CA
Worthington Industries,738,3059.1,Materials,Columbus,OH
TransUnion,796,2716.6,Business Services,Chicago,IL
Calumet Specialty Products Partners,903,2268.2,Energy,Indianapolis,IN
Gannett,683,3405.7,Media,McLean,VA
ResMed,751,2957,Health Care,San Diego,CA
Graham Holdings,768,2889.1,Business Services,Arlington,VA
Designer Brands,907,2234.7,Retailing,Columbus,OH
Lyft,875,2364.7,Technology,San Francisco,CA
Citrix Systems,707,3236.7,Technology,Fort Lauderdale,FL
Tetra Tech,748,2994.9,Engineering & Construction,Pasadena,CA
AptarGroup,759,2929.3,Materials,Crystal Lake,IL
IDEXX Laboratories,800,2706.7,Health Care,Westbrook,ME
First Horizon,686,3390,Financials,Memphis,TN
Applied Industrial Technologies,701,3245.7,Wholesalers,Cleveland,OH
Lincoln Electric Holdings,809,2655.4,Industrials,Cleveland,OH
MSC Industrial Direct,712,3192.4,Wholesalers,Melville,NY
H.B. Fuller,786,2790.3,Chemicals,St. Paul,MN
Middleby,837,2513.3,Industrials,Elgin,IL
Vishay Intertechnology,840,2501.9,Technology,Malvern,PA
Renewable Energy Group,928,2137.1,Energy,Ames,IA
GMS,703,3241.3,Wholesalers,Tucker,GA
Central Garden & Pet,804,2695.5,Household Products,Walnut Creek,CA
Stewart Information Services,898,2288.4,Financials,Houston,TX
Evercore,899,2285.3,Financials,New York,NY
Albemarle,723,3128.9,Chemicals,Charlotte,NC
Brinker International,736,3078.5,"Hotels, Restaurants & Leisure",Dallas,TX
Peabody Energy,772,2881.1,Energy,St. Louis,MO
Light & Wonder,794,2724,"Hotels, Restaurants & Leisure",Las Vegas,NV
Fortinet,816,2594.4,Technology,Sunnyvale,CA
Mr. Cooper Group,792,2733,Financials,Coppell,TX
NLV Financial,823,2573.4,Financials,Montpelier,VT
Franchise Group,924,2152.5,Retailing,Virginia Beach,VA
ScanSource,655,3609.2,Wholesalers,Greenville,SC
Plexus,685,3390.4,Technology,Neenah,WI
Take-Two Interactive Software,730,3089,Media,New York,NY
