0,1,2,3,4,5,6,7,8,9,10,11,12,13
"{'key': 'rank', 'value': '982'}","{'key': 'revenues', 'value': '1871'}","{'key': 'revChange', 'value': '3.4'}","{'key': 'profits', 'value': '244.3'}","{'key': 'prftChange', 'value': '10.8'}","{'key': 'assets', 'value': '2023.8'}","{'key': 'totSHEqty', 'value': '1425.2'}","{'key': 'mktVal', 'value': '4623.6'}","{'key': 'prftPctSls', 'value': '4623.6'}","{'key': 'prftPctAsts', 'value': '12.1'}","{'key': 'prftPctSHEqty', 'value': '17.1'}","{'key': 'industry', 'value': 'Financial Data Services'}","{'key': 'hqState', 'value': 'GA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Total System Services, Inc.'}"
"{'key': 'rank', 'value': '983'}","{'key': 'revenues', 'value': '1866.9'}","{'key': 'revChange', 'value': '7.1'}","{'key': 'profits', 'value': '-27.3'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '1171'}","{'key': 'totSHEqty', 'value': '178.9'}","{'key': 'mktVal', 'value': '127.6'}","{'key': 'prftPctSls', 'value': '127.6'}","{'key': 'prftPctAsts', 'value': '-2.3'}","{'key': 'prftPctSHEqty', 'value': '-15.3'}","{'key': 'industry', 'value': 'Specialty Retailers: Other'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Zale Corporation'}"
"{'key': 'rank', 'value': '984'}","{'key': 'revenues', 'value': '1866'}","{'key': 'revChange', 'value': '43.1'}","{'key': 'profits', 'value': '65'}","{'key': 'prftChange', 'value': '-77'}","{'key': 'assets', 'value': '3490.6'}","{'key': 'totSHEqty', 'value': '1307.8'}","{'key': 'mktVal', 'value': '2240.4'}","{'key': 'prftPctSls', 'value': '2240.4'}","{'key': 'prftPctAsts', 'value': '1.9'}","{'key': 'prftPctSHEqty', 'value': '5'}","{'key': 'industry', 'value': 'Computers, Office Equipment'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'VeriFone Systems, Inc.'}"
"{'key': 'rank', 'value': '985'}","{'key': 'revenues', 'value': '1865.6'}","{'key': 'revChange', 'value': '9'}","{'key': 'profits', 'value': '141.6'}","{'key': 'prftChange', 'value': '7.1'}","{'key': 'assets', 'value': '1860'}","{'key': 'totSHEqty', 'value': '1008.1'}","{'key': 'mktVal', 'value': '2730.9'}","{'key': 'prftPctSls', 'value': '2730.9'}","{'key': 'prftPctAsts', 'value': '7.6'}","{'key': 'prftPctSHEqty', 'value': '14'}","{'key': 'industry', 'value': 'Aerospace and Defense'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Woodward, Inc.'}"
"{'key': 'rank', 'value': '965'}","{'key': 'revenues', 'value': '1927.8'}","{'key': 'revChange', 'value': '2.2'}","{'key': 'profits', 'value': '133.3'}","{'key': 'prftChange', 'value': '18.7'}","{'key': 'assets', 'value': '4488.1'}","{'key': 'totSHEqty', 'value': '1310.2'}","{'key': 'mktVal', 'value': '2197.2'}","{'key': 'prftPctSls', 'value': '2197.2'}","{'key': 'prftPctAsts', 'value': '3'}","{'key': 'prftPctSHEqty', 'value': '10.2'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqState', 'value': 'NV'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Southwest Gas Corporation'}"
"{'key': 'rank', 'value': '966'}","{'key': 'revenues', 'value': '1925.4'}","{'key': 'revChange', 'value': '19.8'}","{'key': 'profits', 'value': '144.7'}","{'key': 'prftChange', 'value': '53.9'}","{'key': 'assets', 'value': '6133'}","{'key': 'totSHEqty', 'value': '2335.3'}","{'key': 'mktVal', 'value': '10556.7'}","{'key': 'prftPctSls', 'value': '10556.7'}","{'key': 'prftPctAsts', 'value': '2.4'}","{'key': 'prftPctSHEqty', 'value': '6.2'}","{'key': 'industry', 'value': 'Telecommunications'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Equinix, Inc.'}"
"{'key': 'rank', 'value': '967'}","{'key': 'revenues', 'value': '1922.7'}","{'key': 'revChange', 'value': '-20'}","{'key': 'profits', 'value': '-730.6'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '3838.8'}","{'key': 'totSHEqty', 'value': '-233.2'}","{'key': 'mktVal', 'value': '9.7'}","{'key': 'prftPctSls', 'value': '9.7'}","{'key': 'prftPctAsts', 'value': '-19'}","{'key': 'prftPctSHEqty', 'value': ''}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Patriot Coal Corporation'}"
"{'key': 'rank', 'value': '968'}","{'key': 'revenues', 'value': '1922.6'}","{'key': 'revChange', 'value': '8.2'}","{'key': 'profits', 'value': '-28.2'}","{'key': 'prftChange', 'value': '-146.8'}","{'key': 'assets', 'value': '4749'}","{'key': 'totSHEqty', 'value': '980.8'}","{'key': 'mktVal', 'value': ''}","{'key': 'prftPctSls', 'value': ''}","{'key': 'prftPctAsts', 'value': '-0.6'}","{'key': 'prftPctSHEqty', 'value': '-2.9'}","{'key': 'industry', 'value': 'Insurance: Property and Casualty (Stock)'}","{'key': 'hqState', 'value': 'NY'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Tower Group, Inc.'}"
"{'key': 'rank', 'value': '969'}","{'key': 'revenues', 'value': '1918.1'}","{'key': 'revChange', 'value': '14.7'}","{'key': 'profits', 'value': '-1200.6'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '2266.4'}","{'key': 'totSHEqty', 'value': '-472.9'}","{'key': 'mktVal', 'value': '45.9'}","{'key': 'prftPctSls', 'value': '45.9'}","{'key': 'prftPctAsts', 'value': '-53'}","{'key': 'prftPctSHEqty', 'value': ''}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'USEC Inc.'}"
"{'key': 'rank', 'value': '970'}","{'key': 'revenues', 'value': '1914.1'}","{'key': 'revChange', 'value': ''}","{'key': 'profits', 'value': '98.8'}","{'key': 'prftChange', 'value': ''}","{'key': 'assets', 'value': '2011'}","{'key': 'totSHEqty', 'value': '539.1'}","{'key': 'mktVal', 'value': '1144'}","{'key': 'prftPctSls', 'value': '1144'}","{'key': 'prftPctAsts', 'value': '4.9'}","{'key': 'prftPctSHEqty', 'value': '18.3'}","{'key': 'industry', 'value': 'Mining, Crude-Oil Production'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'SunCoke Energy, Inc.'}"
