0,1,2,3,4,5,6,7,8,9,10
"{'key': 'rank', 'value': '2'}","{'key': 'revenues', 'value': '223604'}","{'key': 'revchange', 'value': '6.1'}","{'key': 'profits', 'value': '24074'}","{'key': 'prftchange', 'value': '0.0'}","{'key': 'assets', 'value': '620854'}","{'key': 'mktval', 'value': '411035'}","{'key': 'employees', 'value': '367700'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Berkshire Hathaway'}"
"{'key': 'rank', 'value': '1'}","{'key': 'revenues', 'value': '485873'}","{'key': 'revchange', 'value': '0.8'}","{'key': 'profits', 'value': '13643'}","{'key': 'prftchange', 'value': '-7.2'}","{'key': 'assets', 'value': '198825'}","{'key': 'mktval', 'value': '218619'}","{'key': 'employees', 'value': '2300000'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'rankchange', 'value': ''}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Walmart'}"
"{'key': 'rank', 'value': '40'}","{'key': 'revenues', 'value': '65017'}","{'key': 'revchange', 'value': '10.1'}","{'key': 'profits', 'value': '3093'}","{'key': 'prftchange', 'value': '21.5'}","{'key': 'assets', 'value': '34408'}","{'key': 'mktval', 'value': '70481'}","{'key': 'employees', 'value': '240000'}","{'key': 'rankchange1000', 'value': '7'}","{'key': 'rankchange', 'value': '7'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': ""Lowe's""}"
"{'key': 'rank', 'value': '39'}","{'key': 'revenues', 'value': '65665'}","{'key': 'revchange', 'value': '3.4'}","{'key': 'profits', 'value': '7815'}","{'key': 'prftchange', 'value': '22.6'}","{'key': 'assets', 'value': '2023376'}","{'key': 'mktval', 'value': '1612'}","{'key': 'employees', 'value': '5982'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Freddie Mac'}"
"{'key': 'rank', 'value': '38'}","{'key': 'revenues', 'value': '69495'}","{'key': 'revchange', 'value': '-5.8'}","{'key': 'profits', 'value': '2737'}","{'key': 'prftchange', 'value': '-18.6'}","{'key': 'assets', 'value': '37431'}","{'key': 'mktval', 'value': '30502'}","{'key': 'employees', 'value': '323000'}","{'key': 'rankchange1000', 'value': ''}","{'key': 'rankchange', 'value': ''}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Target'}"
"{'key': 'rank', 'value': '37'}","{'key': 'revenues', 'value': '70166'}","{'key': 'revchange', 'value': '-14.2'}","{'key': 'profits', 'value': '2289'}","{'key': 'prftchange', 'value': '-42.6'}","{'key': 'assets', 'value': '46173'}","{'key': 'mktval', 'value': '29746'}","{'key': 'employees', 'value': '9996'}","{'key': 'rankchange1000', 'value': '-5'}","{'key': 'rankchange', 'value': '-5'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Valero Energy'}"
"{'key': 'rank', 'value': '36'}","{'key': 'revenues', 'value': '71726'}","{'key': 'revchange', 'value': '-8.9'}","{'key': 'profits', 'value': '10508'}","{'key': 'prftchange', 'value': '49.3'}","{'key': 'assets', 'value': '127136'}","{'key': 'mktval', 'value': '229700'}","{'key': 'employees', 'value': '105000'}","{'key': 'rankchange1000', 'value': '-2'}","{'key': 'rankchange', 'value': '-2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Procter &amp; Gamble'}"
"{'key': 'rank', 'value': '35'}","{'key': 'revenues', 'value': '71890'}","{'key': 'revchange', 'value': '2.6'}","{'key': 'profits', 'value': '16540'}","{'key': 'prftchange', 'value': '7.3'}","{'key': 'assets', 'value': '141208'}","{'key': 'mktval', 'value': '337642'}","{'key': 'employees', 'value': '126400'}","{'key': 'rankchange1000', 'value': '4'}","{'key': 'rankchange', 'value': '4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Johnson &amp; Johnson'}"
"{'key': 'rank', 'value': '34'}","{'key': 'revenues', 'value': '72396'}","{'key': 'revchange', 'value': '-16.9'}","{'key': 'profits', 'value': '1555'}","{'key': 'prftchange', 'value': '-63.2'}","{'key': 'assets', 'value': '51653'}","{'key': 'mktval', 'value': '40954'}","{'key': 'employees', 'value': '14800'}","{'key': 'rankchange1000', 'value': '-4'}","{'key': 'rankchange', 'value': '-4'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Phillips 66'}"
"{'key': 'rank', 'value': '33'}","{'key': 'revenues', 'value': '76132'}","{'key': 'revchange', 'value': '0.6'}","{'key': 'profits', 'value': '350.3'}","{'key': 'prftchange', 'value': '-94.4'}","{'key': 'assets', 'value': '256030'}","{'key': 'mktval', 'value': ''}","{'key': 'employees', 'value': '68234'}","{'key': 'rankchange1000', 'value': '2'}","{'key': 'rankchange', 'value': '2'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'State Farm Insurance Cos.'}"
"{'key': 'rank', 'value': '32'}","{'key': 'revenues', 'value': '79919'}","{'key': 'revchange', 'value': '-3.1'}","{'key': 'profits', 'value': '11872'}","{'key': 'prftchange', 'value': '-10'}","{'key': 'assets', 'value': '117470'}","{'key': 'mktval', 'value': '164251'}","{'key': 'employees', 'value': '414400'}","{'key': 'rankchange1000', 'value': '-1'}","{'key': 'rankchange', 'value': '-1'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'IBM'}"
"{'key': 'rank', 'value': '31'}","{'key': 'revenues', 'value': '80403'}","{'key': 'revchange', 'value': '7.9'}","{'key': 'profits', 'value': '8695'}","{'key': 'prftchange', 'value': '6.5'}","{'key': 'assets', 'value': '180500'}","{'key': 'mktval', 'value': '178258'}","{'key': 'employees', 'value': '159000'}","{'key': 'rankchange1000', 'value': '6'}","{'key': 'rankchange', 'value': '6'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Comcast'}"
