company,rank,revenue,sector,city,state
StanCorp Financial Group,804,2770,Financials,Portland,OR
Alexion Pharmaceuticals,941,2234,Health Care,Cheshire,CT
Sanderson Farms,803,2775,"Food, Beverages & Tobacco",Laurel,MS
PerkinElmer,940,2238,Technology,Waltham,MA
Weis Markets,802,2777,Food & Drug Stores,Sunbury,PA
Knights of Columbus,939,2239,Financials,New Haven,CT
WGL Holdings,801,2781,Energy,Washington,DC
Olin,938,2241,Chemicals,Clayton,MO
Pool,937,2247,Wholesalers,Covington,LA
Stifel Financial,936,2250,Financials,St. Louis,MO
Pinnacle Entertainment,935,2252,"Hotels, Resturants & Leisure",Las Vegas,NV
Delta Tucker Holdings,934,2252,Aerospace & Defense,McLean,VA
Parexel International,933,2266,Health Care,Waltham,MA
Sigma-Aldrich,800,2785,Chemicals,St. Louis,MO
HCP,932,2268,Financials,Irvine,CA
Sentry Insurance Group,799,2786,Financials,Stevens Point,WI
Party City Holdings,931,2271,Retailing,Elmsford,NY
Education Management,930,2273,Business Services,Pittsburgh,PA
MSC Industrial Direct,798,2787,Wholesalers,Melville,NY
Old Dominion Freight Line,797,2788,Transportation,Thomasville,NC
Granite Construction,929,2275,Engineering & Construction,Watsonville,CA
Pall,796,2789,Industrials,Port Washington,NY
Ciena,928,2288,Technology,Hanover,MD
Benchmark Electronics,795,2797,Technology,Angleton,TX
Skyworks Solutions,927,2292,Technology,Woburn,MA
West,794,2805,Business Services,Omaha,NE
Alliance Holdings,926,2300,Energy,Tulsa,OK
Dresser-Rand Group,793,2812,Industrials,Houston,TX
KapStone Paper &amp; Packaging,925,2301,Materials,Northbrook,IL
Outerwall,924,2303,Retailing,Bellevue,WA
Lincoln Electric Holdings,792,2813,Industrials,Cleveland,OH
Magellan Midstream Partners,923,2304,Energy,Tulsa,OK
OneMain Holdings,791,2814,Financials,Evansville,IN
Belden,922,2308,Industrials,St. Louis,MO
Heartland Payment Systems,921,2311,Business Services,Princeton,NJ
Regeneron Pharmaceuticals,790,2820,Health Care,Tarrytown,NY
Team Health Holdings,789,2820,Health Care,Knoxville,TN
Hawaiian Holdings,920,2315,Transportation,Honolulu,HI
Bon-Ton Stores,788,2823,Retailing,York,PA
Triple-S Management,919,2320,Health Care,San Juan,PR
Amerco,787,2835,Transportation,Reno,NV
Edwards Lifesciences,918,2323,Health Care,Irvine,CA
Kennametal,786,2837,Industrials,Latrobe,PA
Beacon Roofing Supply,917,2327,Wholesalers,Herndon,VA
WABCO Holdings,785,2851,Motor Vehicles & Parts,Rochester Hills,MI
NewMarket,916,2335,Chemicals,Richmond,VA
Exide Technologies,784,2855,Motor Vehicles & Parts,Milton,GA
RPC,915,2337,Energy,Atlanta,GA
Convergys,783,2856,Business Services,Cincinnati,OH
hhgregg,914,2339,Retailing,Indianapolis,IN
Scotts Miracle-Gro,782,2859,Chemicals,Marysville,OH
Take-Two Interactive Software,913,2351,Technology,New York,NY
Genesco,781,2860,Retailing,Nashville,TN
Alliance One International,912,2355,"Food, Beverages & Tobacco",Morrisville,NC
A.O. Smith,911,2356,Industrials,Milwaukee,WI
Sears Hometown &amp; Outlet Stores,910,2356,Retailing,Hoffman Estates,IL
XPO Logistics,909,2357,Transportation,Greenwich,CT
Insperity,908,2358,Business Services,Kingwood,TX
Zions Bancorp.,907,2362,Financials,Salt Lake City,UT
Analog Devices,780,2865,Technology,Norwood,MA
Mueller Industries,906,2364,Industrials,Memphis,TN
Kar Auction Services,905,2365,Wholesalers,Carmel,IN
Carter's,779,2894,Apparel,Atlanta,GA
Archrock,778,2900,Energy,Houston,TX
TransDigm Group,904,2373,Aerospace & Defense,Cleveland,OH
Newfield Exploration,903,2378,Energy,The Woodlands,TX
Brinker International,777,2906,"Hotels, Resturants & Leisure",Dallas,TX
Univision Communications,776,2911,Media,New York,NY
Plexus,902,2378,Technology,Neenah,WI
ScanSource,775,2914,Wholesalers,Greenville,SC
Xilinx,901,2383,Technology,San Jose,CA
Tribune Media,774,2920,Media,Chicago,IL
Dentsply Sirona,773,2923,Health Care,York,PA
BWX Technologies,772,2923,Industrials,Charlotte,NC
Iasis Healthcare,771,2923,Health Care,Franklin,TN
Crane,770,2925,Industrials,Stamford,CT
KLA-Tencor,769,2929,Technology,Milpitas,CA
Arch Coal,768,2937,Energy,St. Louis,MO
TreeHouse Foods,767,2946,"Food, Beverages & Tobacco",Oak Brook,IL
Alere,766,2946,Health Care,Waltham,MA
Huntington Bancshares,765,2956,Financials,Columbus,OH
Martin Marietta Materials,764,2958,Materials,Raleigh,NC
Sabre,763,2960,Technology,Southlake,TX
Sprouts Farmers Market,762,2967,Food & Drug Stores,Phoenix,AZ
RS Legacy,761,2977,Retailing,Fort Worth,TX
MWI Veterinary Supply,760,2981,Wholesalers,Boise,ID
Steelcase,759,2989,Household Products,Grand Rapids,MI
Tempur Sealy International,758,2990,Household Products,Lexington,KY
Regal Entertainment Group,757,2990,Media,Knoxville,TN
Brown-Forman,756,2991,"Food, Beverages & Tobacco",Louisville,KY
Vulcan Materials,755,2994,Materials,Birmingham,AL
Service Corp. International,754,2996,Business Services,Houston,TX
TECO Energy,753,3010,Energy,Tampa,FL
Mercury General,752,3012,Financials,Los Angeles,CA
Skechers U.S.A.,900,2387,Apparel,Manhattan Beach,CA
H&amp;R Block,751,3024,Financials,Kansas City,MO
American Water Works,750,3025,Energy,Voorhees,NJ
Warner Music Group,749,3027,Media,New York,NY
SunPower,748,3027,Energy,San Jose,CA
Westinghouse Air Brake Technologies,747,3045,Industrials,Wilmerding,PA
Apollo Education Group,746,3047,Business Services,Phoenix,AZ
Varian Medical Systems,745,3050,Health Care,Palo Alto,CA
American National Insurance,744,3051,Financials,Galveston,TX
Diebold,743,3051,Technology,North Canton,OH
Select Medical Holdings,742,3065,Health Care,Mechanicsburg,PA
NuStar Energy,741,3079,Energy,San Antonio,TX
Ventas,740,3081,Financials,Chicago,IL
Under Armour,739,3084,Apparel,Baltimore,MD
Whiting Petroleum,738,3085,Energy,Denver,CO
International Flavors &amp; Fragrances,737,3089,Chemicals,New York,NY
Chiquita Brands International,736,3090,"Food, Beverages & Tobacco",Charlotte,NC
Taylor Morrison Home,735,3104,Engineering & Construction,Scottsdale,AZ
Par Pacific Holdings,734,3108,Energy,Houston,TX
IAC/InterActiveCorp,733,3110,Technology,New York,NY
CME Group,732,3113,Financials,Chicago,IL
Puget Energy,731,3113,Energy,Bellevue,WA
Iron Mountain,730,3118,Business Services,Boston,MA
Valmont Industries,729,3123,Industrials,Omaha,NE
Worthington Industries,728,3126,Materials,Columbus,OH
TD Ameritrade Holding,727,3129,Financials,Omaha,NE
Amkor Technology,726,3129,Technology,Tempe,AZ
Citrix Systems,725,3143,Technology,Fort Lauderdale,FL
SunGard Data Systems,724,3147,Business Services,Wayne,PA
Rent-A-Center,723,3158,Retailing,Plano,TX
ON Semiconductor,722,3162,Technology,Phoenix,AZ
EP Energy,721,3166,Energy,Houston,TX
Patterson-UTI Energy,720,3182,Energy,Houston,TX
Landstar System,719,3185,Transportation,Jacksonville,FL
Groupon,718,3192,Technology,Chicago,IL
Tesla Motors,717,3198,Motor Vehicles & Parts,Palo Alto,CA
United Refining,716,3201,Energy,Warren,PA
Carlisle,715,3204,Materials,Charlotte,NC
NBTY,714,3206,Health Care,Ronkonkoma,NY
LVB Acquisition,713,3223,Health Care,Warsaw,IN
Green Plains,712,3236,Energy,Omaha,NE
SkyWest,711,3237,Transportation,St. George,UT
Hawaiian Electric Industries,710,3240,Energy,Honolulu,HI
Ulta Salon Cosmetics &amp; Fragrance,709,3241,Retailing,Bolingbrook,IL
W.R. Grace,708,3243,Chemicals,Columbia,MD
Cooper-Standard Holdings,707,3244,Motor Vehicles & Parts,Novi,MI
Tailored Brands,706,3253,Retailing,Houston,TX
Regal Beloit,705,3257,Industrials,Beloit,WI
Oaktree Capital Group,704,3272,Financials,Los Angeles,CA
American Eagle Outfitters,703,3283,Retailing,Pittsburgh,PA
Church &amp; Dwight,702,3298,Household Products,Ewing,NJ
Urban Outfitters,701,3323,Retailing,Philadelphia,PA
C.R. Bard,700,3324,Health Care,Murray Hill,NJ
Moody's,699,3334,Financials,New York,NY
Welltower,698,3344,Financials,Toledo,OH
Alliant Energy,697,3350,Energy,Madison,WI
Unisys,696,3356,Technology,Blue Bell,PA
Hubbell,695,3359,Industrials,Shelton,CT
Enable Midstream Partners,694,3367,Energy,Oklahoma City,OK
Lennox International,693,3367,Industrials,Richardson,TX
First Solar,692,3392,Energy,Tempe,AZ
Clean Harbors,691,3402,Business Services,Norwell,MA
Cerner,690,3403,Health Care,North Kansas City,MO
ADT,689,3408,Business Services,Boca Raton,FL
Cooper Tire &amp; Rubber,688,3425,Motor Vehicles & Parts,Findlay,OH
CUNA Mutual Group,687,3434,Financials,Madison,WI
WhiteWave Foods,686,3437,"Food, Beverages & Tobacco",Denver,CO
Systemax,685,3443,Retailing,Port Washington,NY
EchoStar,684,3446,Technology,Englewood,CO
Pinnacle West Capital,683,3492,Energy,Phoenix,AZ
Snap-on,682,3493,Industrials,Kenosha,WI
Country Financial,681,3498,Financials,Bloomington,IL
Nasdaq,680,3500,Financials,New York,NY
Fossil Group,679,3510,Apparel,Richardson,TX
Big Heart Pet Brands,678,3521,"Food, Beverages & Tobacco",San Francisco,CA
Smart &amp; Final Stores,677,3534,Food & Drug Stores,Commerce,CA
Towers Watson,676,3546,Business Services,Arlington,VA
Roper Technologies,675,3550,Technology,Sarasota,FL
CACI International,674,3565,Technology,Arlington,VA
Hub Group,673,3571,Transportation,Oak Brook,IL
Boise Cascade,672,3574,Wholesalers,Boise,ID
Electronic Arts,671,3575,Technology,Redwood City,CA
Graham Holdings,670,3582,Business Services,Arlington,VA
HSN,669,3588,Retailing,St. Petersburg,FL
Thor Industries,668,3609,Motor Vehicles & Parts,Elkhart,IN
QEP Resources,667,3617,Energy,Denver,CO
Ryerson Holding,666,3622,Materials,Chicago,IL
DCP Midstream Partners,665,3642,Energy,Denver,CO
Forest Laboratories,664,3647,Health Care,New York,NY
Cabela's,663,3648,Retailing,Sidney,NE
CIT Group,662,3652,Financials,New York,NY
Cabot,661,3652,Chemicals,Boston,MA
Oceaneering International,660,3660,Energy,Houston,TX
Targa Energy,659,3669,Energy,Houston,TX
Crown Castle International,658,3690,Telecommunications,Houston,TX
American Axle &amp; Manufacturing,657,3696,Motor Vehicles & Parts,Detroit,MI
Lexmark International,656,3711,Technology,Lexington,KY
Helmerich &amp; Payne,655,3720,Energy,Tulsa,OK
Brink's,654,3722,Business Services,Richmond,VA
USG,653,3724,Materials,Chicago,IL
Consol Energy,652,3727,Energy,Canonsburg,PA
NII Holdings,651,3727,Telecommunications,Reston,VA
Fastenal,650,3734,Retailing,Winona,MN
New Jersey Resources,649,3738,Energy,Wall,NJ
Abercrombie &amp; Fitch,648,3744,Retailing,New Albany,OH
Flowers Foods,647,3749,"Food, Beverages & Tobacco",Thomasville,GA
Sally Beauty Holdings,646,3754,Retailing,Denton,TX
Magellan Health,645,3760,Health Care,Scottsdale,AZ
Triumph Group,644,3763,Aerospace & Defense,Berwyn,PA
Unified Grocers,643,3771,Wholesalers,Commerce,CA
Joy Global,642,3778,Industrials,Milwaukee,WI
Meritor,641,3795,Motor Vehicles & Parts,Troy,MI
CommScope Holding,640,3830,Technology,Hickory,NC
Brookdale Senior Living,639,3832,Health Care,Brentwood,TN
PolyOne,638,3836,Chemicals,Avon Lake,OH
Ingles Markets,637,3836,Food & Drug Stores,Black Mountain,NC
Pitney Bowes,636,3841,Technology,Stamford,CT
CareFusion,635,3842,Health Care,San Diego,CA
WPX Energy,634,3845,Energy,Tulsa,OK
Genesis Energy,633,3846,Energy,Houston,TX
Timken,632,3862,Industrials,North Canton,OH
Carlyle Group,631,3880,Financials,Washington,DC
Science Applications International,630,3885,Technology,McLean,VA
Manitowoc,629,3887,Industrials,Manitowoc,WI
Toll Brothers,628,3912,Engineering & Construction,Horsham,PA
Silgan Holdings,627,3912,Materials,Stamford,CT
Xylem,626,3916,Industrials,Rye Brook,NY
Crestwood Equity Partners,625,3931,Energy,Houston,TX
Watsco,624,3945,Wholesalers,Miami,FL
Leggett &amp; Platt,623,3950,Household Products,Carthage,MO
Darling Ingredients,622,3956,"Food, Beverages & Tobacco",Irving,TX
Torchmark,621,3964,Financials,McKinney,TX
T. Rowe Price,620,3982,Financials,Baltimore,MD
Ametek,619,4022,Technology,Berwyn,PA
Southwestern Energy,618,4038,Energy,Spring,TX
Patterson,617,4064,Wholesalers,St. Paul,MN
Brunswick,616,4075,Transportation,Lake Forest,IL
AmTrust Financial Services,615,4084,Financials,New York,NY
Hillshire Brands,614,4085,"Food, Beverages & Tobacco",Chicago,IL
FMC,613,4093,Chemicals,Philadelphia,PA
American Tower,612,4100,Telecommunications,Boston,MA
Chipotle Mexican Grill,611,4108,"Hotels, Resturants & Leisure",Denver,CO
Belk,610,4110,Retailing,Charlotte,NC
Adams Resources &amp; Energy,609,4133,Energy,Houston,TX
CNO Financial Group,608,4145,Financials,Carmel,IN
Roundy's,607,4146,Food & Drug Stores,Milwaukee,WI
Molson Coors Brewing,606,4146,"Food, Beverages & Tobacco",Denver,CO
Adobe Systems,605,4147,Technology,San Jose,CA
Exelis,604,4163,Aerospace & Defense,McLean,VA
B/E Aerospace,603,4210,Aerospace & Defense,Wellington,FL
Securian Financial Group,602,4234,Financials,St. Paul,MN
Allegheny Technologies,601,4238,Materials,Pittsburgh,PA
Greif,600,4239,Materials,Delaware,OH
Graphic Packaging Holding,599,4241,Materials,Atlanta,GA
McCormick,598,4243,"Food, Beverages & Tobacco",Sparks,MD
Tiffany,597,4250,Retailing,New York,NY
Resolute Forest Products,596,4258,Materials,Catawba,SC
Hasbro,595,4277,Household Products,Pawtucket,RI
Alpha Natural Resources,594,4287,Energy,Bristol,VA
Swift Transportation,593,4299,Transportation,Phoenix,AZ
KeyCorp,592,4339,Financials,Cleveland,OH
LPL Financial Holdings,591,4374,Financials,Boston,MA
VWR,590,4375,Wholesalers,Radnor,PA
RPM International,589,4376,Chemicals,Medina,OH
Fortune Brands Home &amp; Security,588,4383,Household Products,Deerfield,IL
Envision Healthcare Holdings,587,4398,Health Care,Greenwood Village,CO
Protective Life,586,4404,Financials,Birmingham,AL
Activision Blizzard,585,4408,Technology,Santa Monica,CA
Mead Johnson Nutrition,584,4409,"Food, Beverages & Tobacco",Glenview,IL
Hyatt Hotels,583,4415,"Hotels, Resturants & Leisure",Chicago,IL
Westlake Chemical,582,4415,Chemicals,Houston,TX
Avaya,581,4424,Technology,Santa Clara,CA
Bloomin' Brands,580,4443,"Hotels, Resturants & Leisure",Tampa,FL
Edgewell Personal Care,579,4448,Household Products,St. Louis,MO
Liberty Media,578,4450,Media,Englewood,CO
NVR,577,4453,Engineering & Construction,Reston,VA
FM Global,576,4454,Financials,Johnston,RI
Hospira,575,4464,Health Care,Lake Forest,IL
Polaris Industries,574,4480,Transportation,Medina,MN
Tutor Perini,573,4492,Engineering & Construction,Sylmar,CA
Intuit,572,4507,Technology,Mountain View,CA
Northern Trust,571,4513,Financials,Chicago,IL
Valspar,570,4522,Chemicals,Minneapolis,MN
Andersons,569,4540,"Food, Beverages & Tobacco",Maumee,OH
CA,568,4547,Technology,Islandia,NY
Coty,567,4552,Household Products,New York,NY
Cintas,566,4552,Business Services,Cincinnati,OH
Intercontinental Exchange,565,4568,Financials,Atlanta,GA
Axiall,564,4569,Chemicals,Atlanta,GA
Lam Research,563,4607,Technology,Fremont,CA
MasTec,562,4615,Engineering & Construction,Coral Gables,FL
Yahoo,561,4618,Technology,Sunnyvale,CA
Cliffs Natural Resources,560,4624,Energy,Cleveland,OH
Colfax,559,4625,Industrials,Annapolis Junction,MD
Arthur J. Gallagher,558,4627,Financials,Itasca,IL
Juniper Networks,557,4627,Technology,Sunnyvale,CA
MDU Resources Group,556,4671,Energy,Bismarck,ND
Zimmer Biomet Holdings,555,4673,Health Care,Warsaw,IN
First American Financial,554,4678,Financials,Santa Ana,CA
Nvidia,553,4682,Technology,Santa Clara,CA
Robert Half International,552,4695,Business Services,Menlo Park,CA
Williams-Sonoma,551,4699,Retailing,San Francisco,CA
Superior Energy Services,550,4702,Energy,Houston,TX
Keurig Green Mountain,549,4708,"Food, Beverages & Tobacco",Waterbury,VT
Nexeo Solutions Holdings,548,4710,Wholesalers,The Woodlands,TX
Aleris,547,4716,Materials,Cleveland,OH
Rush Enterprises,546,4727,Retailing,New Braunfels,TX
M&amp;T Bank Corp.,545,4736,Financials,Buffalo,NY
Michaels Cos.,544,4738,Retailing,Irving,TX
CF Industries Holdings,543,4743,Chemicals,Deerfield,IL
SPX,542,4749,Industrials,Charlotte,NC
Levi Strauss,541,4754,Apparel,San Francisco,CA
Frontier Communications,540,4773,Telecommunications,Stamford,CT
Orbital ATK,539,4775,Aerospace & Defense,Dulles,VA
Zoetis,538,4785,Health Care,Florham Park,NJ
Ascena Retail Group,537,4791,Retailing,Mahwah,NJ
Continental Resources,536,4802,Energy,Oklahoma City,OK
Coach,535,4806,Apparel,New York,NY
Bemis,534,4824,Materials,Neenah,WI
Neiman Marcus Group,533,4839,Retailing,Dallas,TX
Burlington Stores,532,4850,Retailing,Burlington,NJ
Quad/Graphics,531,4862,Media,Sussex,WI
Constellation Brands,530,4868,"Food, Beverages & Tobacco",Victor,NY
Simon Property Group,529,4871,Financials,Indianapolis,IN
Flowserve,528,4878,Industrials,Irving,TX
Pepco Holdings,527,4878,Energy,Washington,DC
Atmos Energy,526,4941,Energy,Dallas,TX
Cincinnati Financial,525,4945,Financials,Fairfield,OH
SCANA,523,4951,Energy,Cayce,SC
Regency Energy Partners,523,4951,Energy,Dallas,TX
Berry Plastics Group,522,4958,Materials,Evansville,IN
Raymond James Financial,521,4966,Financials,St. Petersburg,FL
Linn Energy,520,4983,Energy,Houston,TX
WEC Energy Group,519,4997,Energy,Milwaukee,WI
Telephone &amp; Data Systems,518,5009,Telecommunications,Chicago,IL
Harris,517,5012,Technology,Melbourne,FL
Sonoco Products,516,5015,Materials,Hartsville,SC
ABM Industries,515,5033,Business Services,New York,NY
American Tire Distributors Holdings,514,5038,Wholesalers,Huntersville,NC
Lorillard,513,5052,"Food, Beverages & Tobacco",Greensboro,NC
