0,1,2,3,4,5
"{'key': 'rank', 'value': '752'}","{'key': 'revenues', 'value': '2730.10'}","{'key': 'industry', 'value': 'Pharmaceuticals'}","{'key': 'hqCity', 'value': 'Chadds Ford'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Endo Pharmaceuticals Holdings Inc.'}"
"{'key': 'rank', 'value': '753'}","{'key': 'revenues', 'value': '2715.50'}","{'key': 'industry', 'value': 'Semiconductors and Other Electronic Components'}","{'key': 'hqCity', 'value': 'St. Peters'}","{'key': 'hqState', 'value': 'MO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'MEMC Electronic Materials, Inc.'}"
"{'key': 'rank', 'value': '754'}","{'key': 'revenues', 'value': '2694.60'}","{'key': 'industry', 'value': 'Industrial Machinery'}","{'key': 'hqCity', 'value': 'Cleveland'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lincoln Electric Holdings, Inc.'}"
"{'key': 'rank', 'value': '755'}","{'key': 'revenues', 'value': '2688.00'}","{'key': 'industry', 'value': 'Apparel'}","{'key': 'hqCity', 'value': 'Los Angeles'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Guess?, Inc.'}"
"{'key': 'rank', 'value': '756'}","{'key': 'revenues', 'value': '2686.80'}","{'key': 'industry', 'value': 'Commercial Banks'}","{'key': 'hqCity', 'value': 'Salt Lake City'}","{'key': 'hqState', 'value': 'UT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Zions Bancorporation'}"
"{'key': 'rank', 'value': '757'}","{'key': 'revenues', 'value': '2683.50'}","{'key': 'industry', 'value': 'Oil and Gas Equipment, Services'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Exterran Holdings, Inc.'}"
"{'key': 'rank', 'value': '758'}","{'key': 'revenues', 'value': '2681.70'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqCity', 'value': 'Knoxville'}","{'key': 'hqState', 'value': 'TN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Regal Entertainment Group'}"
"{'key': 'rank', 'value': '759'}","{'key': 'revenues', 'value': '2669.60'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqCity', 'value': 'Reston'}","{'key': 'hqState', 'value': 'VA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'NVR, Inc.'}"
"{'key': 'rank', 'value': '760'}","{'key': 'revenues', 'value': '2666.50'}","{'key': 'industry', 'value': 'Wholesalers: Electronics and Office Equipment'}","{'key': 'hqCity', 'value': 'Greenville'}","{'key': 'hqState', 'value': 'SC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'ScanSource, Inc.'}"
"{'key': 'rank', 'value': '761'}","{'key': 'revenues', 'value': '2666.00'}","{'key': 'industry', 'value': 'Utilities: Gas and Electric'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Southern Union Company'}"
"{'key': 'rank', 'value': '762'}","{'key': 'revenues', 'value': '2661.50'}","{'key': 'industry', 'value': 'Construction and Farm Machinery'}","{'key': 'hqCity', 'value': 'Omaha'}","{'key': 'hqState', 'value': 'NE'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Valmont Industries, Inc.'}"
"{'key': 'rank', 'value': '763'}","{'key': 'revenues', 'value': '2661.50'}","{'key': 'industry', 'value': 'Metals'}","{'key': 'hqCity', 'value': 'Glassport'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'TMS International Corp.'}"
"{'key': 'rank', 'value': '764'}","{'key': 'revenues', 'value': '2656.90'}","{'key': 'industry', 'value': 'Transportation Equipment'}","{'key': 'hqCity', 'value': 'Medina'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Polaris Industries Inc.'}"
"{'key': 'rank', 'value': '765'}","{'key': 'revenues', 'value': '2655.00'}","{'key': 'industry', 'value': 'Insurance: Life, Health (Mutual)'}","{'key': 'hqCity', 'value': 'Montpelier'}","{'key': 'hqState', 'value': 'VT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'National Life Group'}"
"{'key': 'rank', 'value': '766'}","{'key': 'revenues', 'value': '2650.90'}","{'key': 'industry', 'value': 'Beverages'}","{'key': 'hqCity', 'value': 'Waterbury'}","{'key': 'hqState', 'value': 'VT'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Green Mountain Coffee Roasters'}"
"{'key': 'rank', 'value': '767'}","{'key': 'revenues', 'value': '2649.10'}","{'key': 'industry', 'value': 'Trucking, Truck Leasing'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Landstar System, Inc.'}"
"{'key': 'rank', 'value': '738'}","{'key': 'revenues', 'value': '2766.20'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Tempe'}","{'key': 'hqState', 'value': 'AZ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'First Solar, Inc.'}"
"{'key': 'rank', 'value': '739'}","{'key': 'revenues', 'value': '2764.10'}","{'key': 'industry', 'value': 'Automotive Retailing, Services'}","{'key': 'hqCity', 'value': 'Medford'}","{'key': 'hqState', 'value': 'OR'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Lithia Motors, Inc.'}"
"{'key': 'rank', 'value': '740'}","{'key': 'revenues', 'value': '2761.40'}","{'key': 'industry', 'value': 'Network and Other Communications Equipment'}","{'key': 'hqCity', 'value': 'Englewood'}","{'key': 'hqState', 'value': 'CO'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'EchoStar Corporation'}"
"{'key': 'rank', 'value': '741'}","{'key': 'revenues', 'value': '2761.40'}","{'key': 'industry', 'value': 'Food Services'}","{'key': 'hqCity', 'value': 'Dallas'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Brinker International, Inc.'}"
"{'key': 'rank', 'value': '742'}","{'key': 'revenues', 'value': '2758.50'}","{'key': 'industry', 'value': 'Chemicals'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'TPC Group Inc.'}"
"{'key': 'rank', 'value': '743'}","{'key': 'revenues', 'value': '2755.50'}","{'key': 'industry', 'value': 'Motor Vehicles and Parts'}","{'key': 'hqCity', 'value': 'Jackson Center'}","{'key': 'hqState', 'value': 'OH'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Thor Industries, Inc.'}"
"{'key': 'rank', 'value': '744'}","{'key': 'revenues', 'value': '2752.50'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqCity', 'value': 'Sunbury'}","{'key': 'hqState', 'value': 'PA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Weis Markets, Inc.'}"
"{'key': 'rank', 'value': '745'}","{'key': 'revenues', 'value': '2751.50'}","{'key': 'industry', 'value': 'Transportation and Logistics'}","{'key': 'hqCity', 'value': 'Downers Grove'}","{'key': 'hqState', 'value': 'IL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Hub Group, Inc.'}"
"{'key': 'rank', 'value': '746'}","{'key': 'revenues', 'value': '2751.50'}","{'key': 'industry', 'value': 'Energy'}","{'key': 'hqCity', 'value': 'Washington'}","{'key': 'hqState', 'value': 'DC'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'WGL Holdings, Inc.'}"
"{'key': 'rank', 'value': '747'}","{'key': 'revenues', 'value': '2749.30'}","{'key': 'industry', 'value': 'Household and Personal Products'}","{'key': 'hqCity', 'value': 'Princeton'}","{'key': 'hqState', 'value': 'NJ'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Church & Dwight Co., Inc.'}"
"{'key': 'rank', 'value': '748'}","{'key': 'revenues', 'value': '2747.10'}","{'key': 'industry', 'value': 'Securities'}","{'key': 'hqCity', 'value': 'Baltimore'}","{'key': 'hqState', 'value': 'MD'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'T. Rowe Price Group, Inc.'}"
