company,rank,revenue,sector,city,state
Green Plains,870,2827.2,Energy,Omaha,NE
Hillenbrand,860,2864.8,Industrials,Batesville,IN
Donaldson,861,2853.9,Industrials,Minneapolis,MN
Moog,862,2852,Aerospace & Defense,East Aurora,NY
Hawaiian Electric Industries,863,2850.4,Energy,Honolulu,HI
Five Below,864,2848.4,Retailing,Philadelphia,PA
PC Connection,855,2892.6,Wholesalers,Merrimack,NH
Host Hotels & Resorts,856,2890,Financials,Bethesda,MD
Boston Properties,857,2888.6,Financials,Boston,MA
Western Midstream Partners,858,2877.2,Energy,The Woodlands,TX
Magellan Midstream Partners,859,2870.1,Energy,Tulsa,OK
Bio-Rad Laboratories,850,2922.5,Technology,Hercules,CA
Cooper Cos.,851,2922.5,Health Care,San Ramon,CA
Envista Holdings,852,2922.4,Health Care,Brea,CA
Newmark Group,854,2906.4,Financials,New York,NY
Interactive Brokers Group,845,2938,Financials,Greenwich,CT
Range Resources,846,2930.2,Energy,Fort Worth,TX
Cheesecake Factory,848,2927.5,"Hotels, Restaurants & Leisure",Calabasas Hills,CA
First Solar,849,2923.4,Energy,Tempe,AZ
UWM Holdings,840,2970.3,Financials,Pontiac,MI
Zions Bancorp.,841,2970,Financials,Salt Lake City,UT
Quad/Graphics,842,2960.4,Media,Sussex,WI
MKS Instruments,843,2949.6,Technology,Andover,MA
Arista Networks,844,2948,Technology,Santa Clara,CA
Incyte,835,2986.3,Health Care,Wilmington,DE
Match Group,836,2983.3,Technology,Dallas,TX
Valvoline,837,2981,Chemicals,Lexington,KY
EnerSys,838,2977.9,Industrials,Reading,PA
Avaya Holdings,839,2973,Technology,Durham,NC
Spectrum Brands Holdings,830,2998.1,Household Products,Middleton,WI
Euronet Worldwide,831,2995.4,Business Services,Leawood,KS
TEGNA,832,2991.1,Media,Tysons,VA
Vontier,833,2990.7,Technology,Raleigh,NC
Cadence Design Systems,834,2988.2,Technology,San Jose,CA
Comerica,825,3024,Financials,Dallas,TX
Energizer Holdings,826,3021.5,Household Products,St. Louis,MO
Hill-Rom Holdings,827,3018.7,Health Care,Chicago,IL
Rackspace Technology,828,3009.5,Technology,San Antonio,TX
Verisk Analytics,829,2998.6,Business Services,Jersey City,NJ
Comfort Systems USA,820,3073.6,Engineering & Construction,Houston,TX
EQT,821,3064.7,Energy,Pittsburgh,PA
Brown & Brown,822,3051.4,Financials,Daytona Beach,FL
LGI Homes,823,3050.1,Engineering & Construction,The Woodlands,TX
Hyatt Hotels,824,3028,"Hotels, Restaurants & Leisure",Chicago,IL
Grocery Outlet Holding,816,3079.6,Food & Drug Stores,Emeryville,CA
AMC Networks,817,3077.6,Media,New York,NY
Hyster-Yale Materials Handling,818,3075.7,Industrials,Cleveland,OH
ChampionX,819,3075,Energy,The Woodlands,TX
Travel + Leisure,810,3134,"Hotels, Restaurants & Leisure",Orlando,FL
Dycom Industries,812,3130.5,Engineering & Construction,Palm Beach Gardens,FL
Columbia Sportswear,813,3126.4,Apparel,Portland,OR
Coherent,814,3105.9,Technology,Saxonburg,PA
Worthington Industries,806,3171.4,Materials,Columbus,OH
Calumet Specialty Products Partners,807,3148,Energy,Indianapolis,IN
Xilinx,808,3147.6,Technology,San Jose,CA
TransUnion,809,3145,Business Services,Chicago,IL
Gannett,801,3208.1,Media,McLean,VA
ResMed,802,3196.8,Health Care,San Diego,CA
Designer Brands,803,3196.6,Retailing,Columbus,OH
Graham Holdings,804,3186,Business Services,Arlington,VA
Lyft,800,3208.3,Technology,San Francisco,CA
AptarGroup,796,3227.2,Materials,Crystal Lake,IL
Citrix Systems,797,3217.2,Technology,Fort Lauderdale,FL
IDEXX Laboratories,798,3215.4,Health Care,Westbrook,ME
Tetra Tech,799,3213.5,Engineering & Construction,Pasadena,CA
Applied Industrial Technologies,792,3235.9,Wholesalers,Cleveland,OH
Lincoln Electric Holdings,793,3234.2,Industrials,Cleveland,OH
First Horizon,794,3234,Financials,Memphis,TN
Spirit Airlines,795,3230.8,Transportation,Miramar,FL
H.B. Fuller,787,3278,Chemicals,St. Paul,MN
Middleby,788,3250.8,Industrials,Elgin,IL
Renewable Energy Group,789,3244.1,Energy,Ames,IA
MSC Industrial Direct,790,3243.2,Wholesalers,Melville,NY
Vishay Intertechnology,791,3240.5,Technology,Malvern,PA
Evercore,783,3307.1,Financials,New York,NY
Stewart Information Services,784,3305.8,Financials,Houston,TX
Central Garden & Pet,785,3303.7,Household Products,Walnut Creek,CA
GMS,786,3298.8,Wholesalers,Tucker,GA
Fortinet,778,3342.2,Technology,Sunnyvale,CA
Brinker International,779,3337.8,"Hotels, Restaurants & Leisure",Dallas,TX
Albemarle,780,3328,Chemicals,Charlotte,NC
Peabody Energy,781,3318.3,Energy,St. Louis,MO
Light & Wonder,782,3310,"Hotels, Restaurants & Leisure",Las Vegas,NV
Franchise Group,774,3362.7,Retailing,Delaware,OH
NLV Financial,775,3350.8,Financials,Montpelier,VT
CrossAmerica Partners,776,3350.5,Energy,Allentown,PA
Mr. Cooper Group,777,3344,Financials,Coppell,TX
Take-Two Interactive Software,770,3372.8,Media,New York,NY
Boyd Gaming,771,3369.8,"Hotels, Restaurants & Leisure",Las Vegas,NV
Plexus,772,3368.9,Technology,Neenah,WI
ScanSource,773,3364.2,Wholesalers,Greenville,SC
Public Storage,765,3415.8,Financials,Glendale,CA
Cabot,766,3409,Chemicals,Boston,MA
Crane Holdings,767,3408,Industrials,Stamford,CT
Atmos Energy,768,3407.5,Energy,Dallas,TX
Selective Insurance Group,769,3379.2,Financials,Branchville,NJ
Brown-Forman,759,3461,"Food, Beverages & Tobacco",Louisville,KY
Navient,761,3454,Financials,Wilmington,DE
Option Care Health,763,3438.6,Health Care,Bannockburn,IL
Floor & Decor Holdings,764,3433.5,Retailing,Atlanta,GA
SiteOne Landscape Supply,756,3475.7,Wholesalers,Roswell,GA
Texas Roadhouse,757,3463.9,"Hotels, Restaurants & Leisure",Louisville,KY
Akamai Technologies,758,3461.2,Technology,Cambridge,MA
Acuity Brands,759,3461,Industrials,Atlanta,GA
Primoris Services,752,3497.6,Engineering & Construction,Dallas,TX
Cboe Global Markets,753,3494.8,Financials,Chicago,IL
Carter's,754,3486.4,Apparel,Atlanta,GA
TopBuild,755,3486.2,Engineering & Construction,Daytona Beach,FL
Rithm Capital,747,3533.1,Financials,New York,NY
Medical Mutual of Ohio,748,3514.8,Financials,Cleveland,OH
Granite Construction,749,3501.9,Engineering & Construction,Watsonville,CA
Valmont Industries,750,3501.6,Materials,Omaha,NE
Sprague Resources,751,3498.2,Energy,Portsmouth,NH
Super Micro Computer,743,3557.4,Technology,San Jose,CA
Flowserve,744,3541.1,Industrials,Irving,TX
Charles River Laboratories International,745,3540.2,Health Care,Wilmington,MA
A.O. Smith,746,3538.9,Industrials,Milwaukee,WI
Ciena,738,3620.7,Technology,Hanover,MD
PriceSmart,739,3619.9,Retailing,San Diego,CA
Advantage Solutions,740,3602.3,Business Services,Irvine,CA
H&R Block,741,3588.6,Financials,Kansas City,MO
iHeartMedia,742,3558.3,Media,San Antonio,TX
Parsons,733,3660.8,Aerospace & Defense,Centreville,VA
Trimble,734,3659.1,Technology,Sunnyvale,CA
OGE Energy,735,3653.7,Energy,Oklahoma City,OK
Garrett Motion,736,3633,Motor Vehicles & Parts,Plymouth,MI
